FORECAST,AVERAGE PAYMENT,AVERAGE BILL,CREDIT SCORES,AGE,SEX,MARRIAGE,EDUCATION,LAST PAYMENT
234430.5,4612.0,142583.83333333300,690,early 30s,Male,Married,Graduate School,Use of Revolving Credit
225993.25,6361.333333333330,177182.66666666700,690,early 20s,Female,Single,Graduate School,Use of Revolving Credit
226349.1,30621.666666666700,42179.0,687,early 30s,Female,Married,University,Use of Revolving Credit
173905.81,4055.5,99000.0,682,late 20s,Female,Married,University,Use of Revolving Credit
145944.42,3521.833333333330,68284.0,679,early 30s,Female,Married,University,Use of Revolving Credit
176450.53,2913.0,62161.833333333300,685,late 20s,Male,Single,Graduate School,Use of Revolving Credit
115852.08,1369.5,37627.16666666670,662,40,Male,Single,University,Late Payment
201321.16,6591.333333333330,130629.5,667,40,Female,Single,University,Use of Revolving Credit
131165.14,1190.8333333333300,14697.666666666700,681,late 20s,Female,Single,Graduate School,Use of Revolving Credit
283733.16,8516.666666666670,201845.0,696,late 20s,Male,Single,Graduate School,Use of Revolving Credit
97482.19,2118.5,55973.333333333300,667,early 20s,Female,Single,University,Use of Revolving Credit
206217.6,410.0,410.0,693,late 30s,Female,Married,Graduate School,Paid In Full
164652.78,4292.166666666670,39951.333333333300,687,early 30s,Male,Married,Graduate School,Use of Revolving Credit
122267.22,1384.6666666666700,38479.0,663,40,Male,Married,University,Use of Revolving Credit
93036.68,1038.3333333333300,5927.166666666670,658,40,Male,Married,University,Use of Revolving Credit
178009.06,2747.333333333330,84992.33333333330,683,late 30s,Male,Single,Graduate School,Use of Revolving Credit
383464.0,11738.833333333300,353551.1666666670,706,late 20s,Female,Single,University,Use of Revolving Credit
218500.53,6600.166666666670,155606.33333333300,681,late 20s,Female,Single,University,Use of Revolving Credit
193352.05,4985.333333333330,113396.66666666700,688,late 30s,Female,Married,University,Use of Revolving Credit
249498.44,6283.333333333330,163857.83333333300,691,late 20s,Male,Single,Graduate School,Use of Revolving Credit
236015.9,31701.33333333330,86223.66666666670,673,early 20s,Male,Single,Graduate School,Use of Revolving Credit
177738.4,4892.166666666670,131474.5,666,40,Female,Single,High School,Use of Revolving Credit
36742.57,1286.0,28275.666666666700,660,40,Male,Married,High School,Late Payment
285901.44,7207.333333333330,224893.3333333330,710,late 20s,Female,Married,University,Late Payment
89155.945,1733.3333333333300,45404.5,667,early 20s,Female,Single,University,Use of Revolving Credit
167985.22,2945.6666666666700,7077.166666666670,675,late 20s,Female,Single,University,Paid In Full
149007.0,5133.333333333330,111139.5,673,early 20s,Female,Single,University,Use of Revolving Credit
147939.73,2950.0,61696.16666666670,675,early 30s,Female,Single,University,Use of Revolving Credit
210613.67,2125.333333333330,52539.333333333300,693,late 30s,Male,Married,Graduate School,Paid In Full
269542.03,19605.666666666700,22517.0,697,40,Male,Married,Graduate School,Paid In Full
104287.92,2346.333333333330,64065.833333333300,668,early 20s,Female,Single,University,Use of Revolving Credit
232057.1,4964.333333333330,128072.83333333300,697,early 30s,Female,Married,Graduate School,Use of Revolving Credit
117396.63,2833.333333333330,72967.83333333330,677,40,Male,Married,Graduate School,Late Payment
143894.58,2066.6666666666700,27861.83333333330,683,late 20s,Female,Single,Graduate School,Use of Revolving Credit
260985.84,16624.166666666700,16245.833333333300,702,late 30s,Female,Married,Graduate School,Paid In Full
200991.95,282.1666666666670,348.1666666666670,688,late 30s,Male,Married,Graduate School,Paid In Full
178186.27,27920.83333333330,105745.33333333300,641,early 20s,Female,Single,High School,Late Payment
214436.39,6500.0,140545.66666666700,689,early 30s,Male,Single,Graduate School,Late Payment
138720.17,2140.833333333330,48804.16666666670,678,early 30s,Female,Married,University,Use of Revolving Credit
211198.72,6417.666666666670,159272.66666666700,690,late 20s,Female,Married,High School,Use of Revolving Credit
233427.28,6957.666666666670,183711.8333333330,673,late 20s,Male,Single,University,Use of Revolving Credit
112774.15,5154.0,10118.833333333300,668,early 20s,Female,Single,High School,Paid In Full
160838.92,3101.6666666666700,75596.5,681,early 30s,Female,Married,University,Use of Revolving Credit
154611.1,676.5,390.0,664,40,Male,Married,High School,Paid In Full
171464.44,3617.6666666666700,92830.16666666670,677,early 30s,Female,Single,University,Use of Revolving Credit
30499.986,1506.0,11036.666666666700,669,early 20s,Female,Single,University,Late Payment
66564.02,941.3333333333330,19204.166666666700,664,early 20s,Male,Married,University,Use of Revolving Credit
165137.53,5965.833333333330,47823.5,677,late 20s,Female,Single,Graduate School,Use of Revolving Credit
433962.34,60316.16666666670,161002.33333333300,702,40,Male,Married,Graduate School,Use of Revolving Credit
88300.47,2298.333333333330,4518.833333333330,659,40,Male,Married,High School,Use of Revolving Credit
171025.06,4648.0,99422.5,674,late 20s,Male,Single,University,Use of Revolving Credit
194251.5,2220.5,97921.0,696,early 30s,Female,Married,University,Use of Revolving Credit
119809.71,2130.0,9613.666666666670,666,early 20s,Male,Single,University,Paid In Full
181217.62,4451.666666666670,122474.5,686,early 20s,Female,Single,Graduate School,Use of Revolving Credit
254970.33,26345.666666666700,53380.5,658,late 20s,Male,Single,University,Paid In Full
185942.78,4248.5,121932.83333333300,675,late 20s,Male,Single,University,Use of Revolving Credit
106973.375,2916.6666666666700,64835.0,670,early 20s,Female,Single,University,Use of Revolving Credit
358749.53,21718.33333333330,238232.66666666700,715,early 30s,Female,Married,Graduate School,Use of Revolving Credit
85378.17,875.3333333333330,9034.333333333330,683,late 20s,Male,Married,Graduate School,Late Payment
99848.07,441.8333333333330,903.5,678,late 30s,Female,Married,High School,Late Payment
234932.45,4143.666666666670,136086.66666666700,691,early 30s,Female,Single,Graduate School,Use of Revolving Credit
237658.78,5933.0,166630.66666666700,680,40,Female,Single,University,Use of Revolving Credit
106897.69,2148.833333333330,28731.83333333330,676,early 20s,Female,Single,Graduate School,Use of Revolving Credit
246023.92,7303.833333333330,160174.33333333300,670,early 30s,Male,Single,Others,Late Payment
193827.06,598.0,728.0,675,40,Male,Married,Graduate School,Paid In Full
101018.83,3333.333333333330,31683.33333333330,671,late 20s,Female,Single,University,Use of Revolving Credit
163912.6,1126.0,1417.3333333333300,678,late 20s,Male,Married,University,Paid In Full
4252.353,750.0,15539.666666666700,661,early 20s,Male,Single,University,Late Payment
121976.68,2042.1666666666700,36537.833333333300,669,late 30s,Male,Single,University,Use of Revolving Credit
138726.0,10531.666666666700,107232.5,686,early 20s,Female,Single,University,Use of Revolving Credit
59299.32,1801.8333333333300,43033.5,664,early 20s,Female,Single,High School,Use of Revolving Credit
127327.766,875.0,11097.166666666700,680,late 20s,Female,Single,Graduate School,Use of Revolving Credit
217036.6,3219.333333333330,109021.66666666700,702,late 20s,Female,Married,Graduate School,Use of Revolving Credit
271882.75,12233.333333333300,194086.16666666700,691,early 30s,Female,Married,University,Use of Revolving Credit
150976.16,6333.333333333330,24179.33333333330,684,late 20s,Male,Single,Graduate School,Use of Revolving Credit
359683.06,43561.66666666670,53768.0,715,late 30s,Male,Single,University,Paid In Full
203111.64,9169.666666666670,8906.833333333330,673,40,Male,Married,University,Paid In Full
72093.39,2083.333333333330,32195.33333333330,662,40,Female,Married,High School,Use of Revolving Credit
77392.45,1330.0,22264.0,670,early 20s,Female,Single,University,Use of Revolving Credit
105986.68,608.1666666666670,15914.333333333300,666,early 30s,Male,Single,University,Use of Revolving Credit
149568.61,5690.5,71392.16666666670,681,early 30s,Male,Single,Graduate School,Late Payment
127694.875,1671.6666666666700,46744.16666666670,672,late 20s,Female,Single,University,Use of Revolving Credit
115134.15,2083.333333333330,21557.666666666700,667,40,Female,Married,University,Use of Revolving Credit
177775.73,4590.5,132717.16666666700,682,early 20s,Male,Single,Graduate School,Use of Revolving Credit
251436.47,8685.0,194095.8333333330,684,late 30s,Male,Married,University,Use of Revolving Credit
316271.38,10691.166666666700,308384.8333333330,703,early 20s,Female,Married,University,Use of Revolving Credit
163907.19,4387.0,12625.666666666700,686,late 20s,Female,Single,Graduate School,Use of Revolving Credit
112064.18,2440.1666666666700,60590.0,650,early 20s,Female,Single,Others,Use of Revolving Credit
49046.758,2159.833333333330,44698.0,675,late 30s,Male,Married,High School,Late Payment
131888.08,3253.5,3585.6666666666700,679,early 30s,Female,Married,University,Use of Revolving Credit
321241.62,12833.333333333300,324525.1666666670,701,40,Female,Single,Graduate School,Late Payment
144172.42,1196.5,47058.333333333300,683,early 20s,Female,Married,University,Paid In Full
157161.11,4666.666666666670,21167.83333333330,691,late 30s,Female,Married,High School,Paid In Full
83515.555,977.3333333333330,18973.0,651,40,Male,Single,High School,Use of Revolving Credit
114827.51,752.8333333333330,2114.1666666666700,675,early 20s,Male,Single,Graduate School,Paid In Full
135423.39,208.0,208.0,671,early 20s,Female,Single,University,Paid In Full
187906.8,7549.666666666670,7757.666666666670,691,early 20s,Female,Single,Graduate School,Paid In Full
124980.83,1135.6666666666700,35552.666666666700,680,late 20s,Female,Married,University,Use of Revolving Credit
96980.76,1939.1666666666700,18110.83333333330,674,late 20s,Male,Single,Graduate School,Use of Revolving Credit
106797.33,3203.0,80831.83333333330,666,early 20s,Female,Single,University,Use of Revolving Credit
221926.2,6376.666666666670,175535.16666666700,664,early 30s,Female,Married,Others,Late Payment
233654.08,9892.666666666670,10360.0,693,40,Male,Married,Graduate School,Paid In Full
179836.78,6958.166666666670,34074.833333333300,696,early 30s,Female,Single,Graduate School,Use of Revolving Credit
56148.1,722.3333333333330,8389.333333333330,672,early 20s,Female,Single,Graduate School,Use of Revolving Credit
58848.14,1733.3333333333300,46887.16666666670,677,early 20s,Female,Single,Graduate School,Late Payment
165592.17,9323.666666666670,83913.33333333330,668,early 20s,Female,Single,Graduate School,Use of Revolving Credit
146540.5,405.3333333333330,780.1666666666670,684,late 20s,Female,Single,Graduate School,Late Payment
178283.89,3451.6666666666700,60042.0,689,early 30s,Female,Married,Graduate School,Use of Revolving Credit
103950.24,780.6666666666670,12259.333333333300,664,40,Female,Married,University,Use of Revolving Credit
94896.63,1957.3333333333300,50739.0,668,early 20s,Female,Single,University,Use of Revolving Credit
73944.31,1525.5,24678.83333333330,666,early 20s,Male,Married,University,Use of Revolving Credit
139794.2,1974.3333333333300,23119.33333333330,677,early 30s,Male,Single,Graduate School,Use of Revolving Credit
165259.17,2979.1666666666700,85122.33333333330,683,late 30s,Female,Married,University,Use of Revolving Credit
128897.58,1877.3333333333300,43106.0,670,40,Male,Married,Graduate School,Use of Revolving Credit
110193.01,1601.6666666666700,16267.666666666700,676,late 20s,Female,Married,University,Use of Revolving Credit
320805.28,22597.83333333330,19718.5,723,late 30s,Female,Single,Graduate School,Paid In Full
174164.56,4339.666666666670,49588.0,689,early 30s,Female,Single,Graduate School,Use of Revolving Credit
100452.195,3106.6666666666700,19649.33333333330,652,late 30s,Female,Divorced,High School,Use of Revolving Credit
166575.84,1843.0,56087.333333333300,680,early 30s,Male,Single,Graduate School,Use of Revolving Credit
129172.555,4009.5,46576.66666666670,680,early 30s,Female,Married,High School,Use of Revolving Credit
134916.77,3495.5,87560.5,665,40,Female,Married,High School,Use of Revolving Credit
259617.45,4305.5,3576.0,695,early 30s,Female,Single,Graduate School,No Consumption
240642.28,11692.666666666700,138233.83333333300,706,early 30s,Female,Married,University,Use of Revolving Credit
82871.49,1927.5,33894.666666666700,680,late 30s,Female,Married,High School,Late Payment
90604.97,821.6666666666670,19795.666666666700,659,40,Male,Married,High School,Use of Revolving Credit
238171.5,7416.666666666670,174646.5,686,late 30s,Female,Single,University,Use of Revolving Credit
116147.055,3583.333333333330,15913.5,672,early 30s,Male,Married,University,Use of Revolving Credit
16663.416,1333.3333333333300,18431.5,666,early 20s,Female,Single,High School,Late Payment
110800.39,1647.1666666666700,36874.5,665,early 30s,Male,Single,University,Use of Revolving Credit
218628.42,5338.833333333330,4979.333333333330,686,early 30s,Male,Single,Graduate School,Paid In Full
96644.09,1447.3333333333300,9735.666666666670,675,early 20s,Female,Single,Graduate School,Use of Revolving Credit
181758.11,3355.5,83731.0,687,late 30s,Female,Single,Graduate School,Use of Revolving Credit
140900.53,5277.5,7074.333333333330,671,early 20s,Female,Single,University,Paid In Full
328443.38,29401.666666666700,24371.33333333330,721,late 20s,Male,Single,Graduate School,No Consumption
160778.75,13376.833333333300,57436.0,692,late 30s,Male,Married,High School,Use of Revolving Credit
167445.11,2668.1666666666700,83677.5,679,early 30s,Female,Single,University,Use of Revolving Credit
121550.49,1370.6666666666700,46795.66666666670,655,40,Male,Single,University,Use of Revolving Credit
151433.33,3005.6666666666700,71853.0,685,late 30s,Female,Married,University,Late Payment
